,lon,lat,Year,geometry,lon_m,lat_m
910GGTMSNDN,-0.709141,51.703519,1892.0,POINT (-0.709141 51.703519),489298.4694372663,201318.6633609088
910GGUILDFD,-0.580425,51.23697,1845.0,POINT (-0.580425 51.23697),499198.5464308255,149600.5864916621
910GHACKNYC,-0.056058,51.547105,1980.0,POINT (-0.056058 51.547105),534888.1145993706,184925.00821340346
910GHACKNYW,-0.02492,51.54341,1980.0,POINT (-0.02492 51.54341),537058.0818373945,184571.90910123807
910GHADLYWD,-0.176172,51.668497,1885.0,POINT (-0.176172 51.668497),526223.3162822407,198209.7981306006
910GHAGGERS,-0.075666,51.538705,2010.0,POINT (-0.075666 51.538705),533553.1912150258,183954.91639653832
910GHAKNYNM,-0.060819,51.548757,1872.0,POINT (-0.060819 51.548757),534553.1533989863,185099.94574254815
910GHAMPTON,-0.372119,51.415934,1864.0,POINT (-0.372119 51.415934),513298.5141499918,169803.09668864467
910GHAMWICK,-0.312489,51.414524,1863.0,POINT (-0.312489 51.414524),517448.53723273455,169740.13276812772
910GHANWELL,-0.338583,51.511835,1839.0,POINT (-0.338583 51.511835),515388.5069090002,180520.08524924837
910GHARLSDN,-0.257774,51.536305,1912.0,POINT (-0.257774 51.536305),520930.9481000317,183371.5492259739
910GHAROOTH,-0.337226,51.579197,1880.0,POINT (-0.337226 51.579197),515312.3947101723,188013.23222172074
910GHATFILD,-0.215589,51.763879,1850.0,POINT (-0.215589 51.763879),523238.341794644,208749.46149615373
910GHAYESAH,-0.420683,51.503096,1864.0,POINT (-0.420683 51.503096),509712.645387421,179422.09953520622
910GHAYS,0.010557,51.376334,1882.0,POINT (0.010557 51.376334),540028.1320336899,166060.1277555197
910GHCRT,-0.34275,51.402558,1849.0,POINT (-0.34275 51.402558),515374.35273119656,168361.4696637771
910GHDON,-0.238674,51.580068,1868.0,POINT (-0.238674 51.580068),522138.25540109543,188269.81125895202
910GHEDSTNL,-0.35722,51.602649,1917.0,POINT (-0.35722 51.602649),513868.44543172966,190589.8544240704
910GHEMLHMP,-0.490774,51.742333,1837.0,POINT (-0.490774 51.742333),504298.5086228367,205924.40479803056
910GHERNEH,-0.102289,51.453305,1862.0,POINT (-0.102289 51.453305),531953.2234753736,174410.0968457085
910GHERSHAM,-0.389959,51.376812,1936.0,POINT (-0.389959 51.376812),512153.5093721269,165425.292813887
910GHFDN,-0.091788,51.798857,1924.0,POINT (-0.09178799999999999 51.798857),531679.0909215785,212855.50957505783
910GHGHI,-0.103538,51.546269,1850.0,POINT (-0.103538 51.546269),531598.5671540112,184745.51517841814
910GHGHMSPK,-0.000222,51.60835,1873.0,POINT (-0.000222 51.60835),538573.217440842,191839.9910340978
910GHKBG,-0.153907,51.377872,1868.0,POINT (-0.153907 51.377872),528578.2832822654,165930.26412772102
910GHLDNBRO,0.22759,51.214486,1868.0,POINT (0.22759 51.214486),555678.0923659082,148500.35570860415
910GHMPSTDH,-0.165705,51.55521,1860.0,POINT (-0.165705 51.55521),527263.2689901157,185629.8615553748
910GHOMRTON,-0.04236,51.547012,1868.0,POINT (-0.04236 51.547012),535838.1043754095,184939.98329232045
910GHONROPK,-0.045505,51.449989,1886.0,POINT (-0.045505 51.449989),535908.2449764756,174145.16406349803
910GHOUNSLW,-0.362277,51.461946,1849.0,POINT (-0.362277 51.461946),513868.51510938676,174935.1712652332
910GHOWWOOD,-0.34467,51.717742,1988.0,POINT (-0.34467 51.717742),514447.43612365914,203408.57922569284
910GHOXTON,-0.075681,51.531512,2010.0,POINT (-0.075681 51.531512),533573.1976409389,183155.00255390495
910GHRGY,-0.105136,51.577358,1885.0,POINT (-0.105136 51.577358),531398.2377705937,188199.83751339454
910GHRGYGL,-0.098144,51.577182,1865.0,POINT (-0.098144 51.577182),531883.2163882764,188192.85586815036
910GHRLDWOD,0.233129,51.592766,1868.0,POINT (0.233129 51.592766),554783.2700873936,190574.9143943215
910GHRLWTWN,0.095132,51.78107,1842.0,POINT (0.09513199999999999 51.78107),544624.1708796562,211231.44979277073
910GHRNSY,-0.111975,51.586461,1850.0,POINT (-0.111975 51.586461),530898.242680103,189199.86230130802
910GHROW,-0.334896,51.592216,1837.0,POINT (-0.334896 51.592216),515440.839682882,189464.67164618295
910GHRPNDN,-0.35148,51.814645,1868.0,POINT (-0.35148 51.814645),513733.3827109504,214174.39217219525
910GHRSLEY,-0.435409,51.279347,1885.0,POINT (-0.435409 51.279347),509221.3830463205,154518.40263263162
910GHTCHEND,-0.368601,51.609417,1844.0,POINT (-0.368601 51.609417),513063.4953298628,191324.82048769906
910GHTHRGRN,-0.000944,51.452025,1866.0,POINT (-0.000944 51.452025),538998.2228759098,174455.1114574953
910GHTRBUS5,-0.489556,51.471569,2008.0,POINT (-0.489556 51.471569),505004.927464328,175815.18229016743
910GHTRWAPT,-0.454037,51.471618,1999.0,POINT (-0.454037 51.471618),507471.64688964566,175872.13422694936
910GHYDNSRD,-0.188815,51.425448,1868.0,POINT (-0.188815 51.425448),526018.2613391109,171160.20714024367
910GILFORD,0.06968,51.559118,1839.0,POINT (0.06968000000000001 51.559118),543568.1929654676,186500.06955144688
910GINGTSTN,0.384247,51.667043,1843.0,POINT (0.384247 51.667043),564980.1910262369,199164.74064462865
910GISLEWTH,-0.336907,51.474763,1850.0,POINT (-0.336907 51.474763),515598.4846613161,176400.1898530767
910GIVER,-0.506726,51.508503,1924.0,POINT (-0.506726 51.508503),503728.6485805777,179898.00150926213
910GKENOLYM,-0.210502,51.496156,1864.0,POINT (-0.210502 51.496156),524318.5299725563,178985.988950993
910GKENR,-0.219957,51.534554,1873.0,POINT (-0.219957 51.534554),523558.319823667,183239.93672517088
910GKENSLG,-0.22505,51.530545,1916.0,POINT (-0.22505 51.530545),523215.92367032333,182785.54541166243
910GKENTHOS,-0.045247,51.412215,1884.0,POINT (-0.045247 51.412215),536038.2122283439,169945.21487984696
910GKEWBDGE,-0.287108,51.489513,1849.0,POINT (-0.287108 51.489513),519018.4262959033,178120.109638948
